,Day 3,Day 5,Day 10,Day 12,Day 14,Day 18,Day 22,Day 23,Day 26,Day 27,Day 28,Day 30,Day 38,Day 39,Day 40,Day 41,Day 45
tr|G3HKX2|G3HKX2_CRIGR;tr|G3IH30|G3IH30_CRIGR;tr|G3HJ35|G3HJ35_CRIGR,0.00020476,0.000169019,0.000206579,0.000246807,0.000227916,0.000353315,0.00033029,0.000220339,0.000216813,0.000216563,5.42477E-05,0.000306341,0.000207238,0.00032804,0.000492616,0.000314065,0.000372618
tr|G3HKX9|G3HKX9_CRIGR,1.01697E-05,9.55007E-06,0,0,0,0,0,1.07916E-06,3.61133E-06,4.20965E-06,2.14844E-06,2.14339E-06,5.67874E-06,4.40387E-06,2.65415E-06,1.46965E-06,3.92524E-06
tr|G3HKY0|G3HKY0_CRIGR;tr|G3ICN4|G3ICN4_CRIGR;tr|G3GV60|G3GV60_CRIGR;tr|G3H061|G3H061_CRIGR,0.00079148,0.000428306,0.001330948,0.001693715,0.001274512,0.000973788,0.000584126,0.001382883,0.000968154,0.000504435,0.000794698,0.00080965,0.00090202,0.000565953,0.000864858,0.001174773,0.000573241
tr|G3HKZ1|G3HKZ1_CRIGR,0.001048638,0.001253174,0.001945732,0.002309314,0.003231218,0.002529815,0.00215295,0.002125859,0.002397713,0.002472682,0.00338154,0.003940196,0.002217404,0.002730739,0.002804779,0.002285668,0.006056004
tr|G3HL13|G3HL13_CRIGR;tr|G3H1E7|G3H1E7_CRIGR;tr|G3IKK4|G3IKK4_CRIGR;tr|G3IEZ0|G3IEZ0_CRIGR;tr|G3I6C6|G3I6C6_CRIGR,0.000208121,5.93262E-05,0.001565578,0.001339328,0.001297743,0.001156599,0.001267258,0.001209519,0.00223486,0.001421725,0.002271857,0.001124226,0.001627639,0.003340408,0.001526361,0.001540082,0.001118274
tr|G3HL16|G3HL16_CRIGR,5.3544E-06,7.2951E-06,1.88736E-05,2.5248E-05,1.40865E-05,2.73776E-05,3.0792E-05,2.46039E-05,1.15701E-05,6.92581E-06,2.28571E-06,7.30249E-06,1.59111E-05,6.20965E-06,1.34228E-05,1.17105E-05,0
tr|G3HUC0|G3HUC0_CRIGR;tr|G3HL18|G3HL18_CRIGR,0.000960192,0.000820819,9.75406E-05,3.30277E-05,0.000151116,8.05238E-05,0.00049332,0.000705119,0.000317444,0.000172878,0.000141006,6.48676E-05,0.000488966,5.28996E-05,0.000163775,0.00015546,0.000198112
tr|G3HL33|G3HL33_CRIGR,1.10575E-05,9.40455E-06,8.89092E-06,6.88901E-06,6.84859E-06,8.392E-06,1.11606E-05,5.44035E-06,1.01262E-06,2.29434E-06,2.69295E-06,2.7615E-06,2.26113E-06,5.4127E-07,2.639E-06,2.24715E-06,0
tr|G3HL97|G3HL97_CRIGR,0,0,1.69788E-05,0,0,0,0,0,0,0,0,0,0,3.17109E-06,0,0,0
tr|G3HLB3|G3HLB3_CRIGR,0,0,0,6.85179E-06,0,0,0,3.53438E-06,0,1.29152E-05,0,1.39076E-05,7.21109E-06,3.60015E-06,7.69203E-06,0,0
tr|G3HLD0|G3HLD0_CRIGR,0.000220132,0.000267725,0.000453894,0.000484623,0.000588632,0.000292152,0.000320156,0.00029781,0.000329269,0.000253531,0.000142521,0.000580093,0.000203621,0.000420078,0.000284616,0.000178701,0.00021771
tr|G3HLE5|G3HLE5_CRIGR,0,0,0,0,0,4.42333E-05,8.32598E-06,1.13374E-05,1.2908E-05,0,2.00941E-05,0,1.34788E-05,2.97785E-05,8.81612E-06,4.6721E-06,0
tr|G3HLF6|G3HLF6_CRIGR,0,0,0,0,9.51726E-06,0,0,0,0,0,0,0,0,0,0,0,0
tr|G3HLH5|G3HLH5_CRIGR,0,0,3.76635E-06,9.56319E-06,6.67981E-06,4.04077E-06,8.5672E-06,0,0,9.66052E-06,0,3.96274E-06,0,1.5443E-05,8.36434E-06,5.12212E-06,7.90418E-06
tr|G3I094|G3I094_CRIGR;tr|G3HLJ9|G3HLJ9_CRIGR;tr|G3H433|G3H433_CRIGR;tr|G3HH35|G3HH35_CRIGR;tr|G3IH19|G3IH19_CRIGR;tr|G3HN30|G3HN30_CRIGR,8.63048E-05,0.000111629,0.000109024,0,7.1464E-05,0,0,0,0,0,5.18216E-05,0,0,0,0,0,0
tr|G3HLK3|G3HLK3_CRIGR,0.000533058,0.000471764,0.000263454,0.000237103,0.00031584,0.000244834,0.000379126,0.000516733,0.000557894,0.000556022,0.000568311,0.00066691,0.000439864,0.000364904,0.000389949,0.000511602,0.000578294
tr|G3HLL4|G3HLL4_CRIGR,3.23819E-06,0,3.29889E-05,3.87599E-05,2.94179E-05,2.21336E-05,3.83755E-05,3.29961E-05,3.63774E-05,3.81465E-05,2.67522E-05,3.16476E-05,1.9606E-05,2.31269E-05,1.40052E-05,1.63632E-05,1.19966E-06
tr|G3HLM2|G3HLM2_CRIGR;tr|G3HZ82|G3HZ82_CRIGR;tr|G3GVS4|G3GVS4_CRIGR,0,5.67031E-06,9.09223E-06,0,1.07936E-05,1.06708E-05,9.70253E-06,1.89533E-05,3.27837E-05,6.16972E-06,1.91042E-05,2.21932E-05,1.19228E-05,2.45588E-05,1.75744E-05,7.27399E-06,4.3831E-06
tr|G3HLM3|G3HLM3_CRIGR;tr|G3GVS3|G3GVS3_CRIGR;tr|G3HZ81|G3HZ81_CRIGR,6.50227E-05,6.98779E-05,0.000135728,0.000117052,7.27329E-05,0.000117717,5.85878E-05,4.05127E-05,5.63012E-05,3.68072E-05,0.000120092,5.22277E-05,3.53586E-05,3.80827E-05,5.38602E-05,3.63321E-05,0.000125614
tr|G3HLM6|G3HLM6_CRIGR,0,0,0,2.87644E-06,0,1.30576E-06,9.9781E-07,1.27454E-06,0,6.74991E-07,0,0,0,0,0,1.99864E-06,0
tr|G3HLN9|G3HLN9_CRIGR,0,0,0,3.58246E-06,2.16202E-06,1.77784E-06,5.70071E-06,6.71996E-06,6.55001E-06,0,0,0,2.02947E-06,0,1.29763E-06,0,0
tr|G3HLP4|G3HLP4_CRIGR,2.22265E-05,0,1.44773E-05,2.55282E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|G3HLR7|G3HLR7_CRIGR,3.28375E-05,1.2849E-05,2.00616E-06,5.84115E-06,1.17335E-05,1.23012E-05,1.73069E-06,6.5651E-06,1.43336E-05,5.17408E-06,0,2.42985E-05,1.30206E-05,1.92644E-05,8.83914E-06,1.209E-05,4.17779E-05
tr|G3HLS2|G3HLS2_CRIGR,0.000826622,0.000598088,0.001186513,0.001821528,0.00312474,0.002348421,0.002283732,0.002419451,0.002721653,0.003096676,0.003100773,0.002337295,0.002475483,0.002761903,0.003156086,0.003204194,0.004518505
tr|G3HLS5|G3HLS5_CRIGR,0,1.79692E-05,6.00206E-05,9.23141E-05,7.75861E-05,5.76984E-05,0,1.63771E-05,2.76639E-05,2.17619E-05,0,1.10117E-05,2.01307E-05,3.2267E-05,2.12684E-05,2.33644E-05,0
tr|G3HLT0|G3HLT0_CRIGR,9.37806E-05,0.000170057,0.000212574,0.000469796,0.000690191,0.000636256,0.001333289,0.001299354,0.001547472,0.002105368,0.000949502,0.001549189,0.002024095,0.001451042,0.001387937,0.001340371,0.000451092
tr|G3HLT3|G3HLT3_CRIGR,0.000950024,0.000766768,0.001379635,0.001170086,0.000706551,0.001183706,0.000898225,0.001219443,0.001727906,0.001144394,0.001192352,0.000564613,0.002362613,0.001264289,0.001767453,0.001712175,0.001913981
tr|G3HLU1|G3HLU1_CRIGR,0,0,0,0,0,6.66514E-06,0,0,0,0,0,0,0,0,0,0,0
tr|G3HLU5|G3HLU5_CRIGR;tr|G3HI14|G3HI14_CRIGR;tr|G3I8N9|G3I8N9_CRIGR;tr|G3I198|G3I198_CRIGR,1.35773E-05,0,0.000257632,0.000305849,0.000343686,0.000336114,0.000278799,0.000213837,7.20176E-05,7.05446E-05,0.000220504,0.00017865,0.00010366,0.000221253,0.000144982,0.000102262,0
tr|G3HLU9|G3HLU9_CRIGR,2.36823E-06,4.12308E-06,0,0,0,0,0,0,0,0,1.72758E-06,3.25951E-07,0,0,3.96169E-07,4.4913E-07,4.91856E-07
tr|G3HLV1|G3HLV1_CRIGR,4.32622E-05,3.02506E-05,3.49973E-05,8.55779E-05,0.000103514,0.000112177,0.000115352,0.000100546,0.000164129,0.000120729,0.000111948,9.35898E-05,0.000104334,0.000156023,0.000100917,0.000109553,0.000207193
tr|G3HLV6|G3HLV6_CRIGR;tr|G3IBA0|G3IBA0_CRIGR,0.000360908,0.000464424,0.000636366,0.000598383,0.000383383,0.000543889,0.00045833,0.000437412,0.0003526,0.000432841,0.000384819,0.000411754,0.000361611,0.000320579,0.00041249,0.000327169,0.000301452
tr|G3HLV8|G3HLV8_CRIGR,0,0,0,0,0,0,0,1.32933E-06,0,0,0,0,1.35781E-06,0,0,0,0
tr|G3HLW5|G3HLW5_CRIGR,0.000105164,9.43257E-05,0.000184397,0.000228293,0.000230917,0.000224914,0.000230408,0.000157868,8.75969E-05,6.83305E-05,0.00010307,5.84375E-05,7.23159E-05,9.66434E-05,8.46658E-05,6.10317E-05,0.000168469
tr|G3HLW8|G3HLW8_CRIGR,0,0,0,0,0,0,9.83122E-07,0,0,0,0,0,0,0,0,0,0
